板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
主板,沈阳机床股份有限公司,"SHENYANG MACHINE TOOL CO.,LTD",辽宁省沈阳经济技术开发区开发大路17甲1号,000410,沈阳机床,1996-07-18,2064746603,1680906719,,,,0,0,东北,辽宁,沈阳市,C 制造业,www.smtcl.com,-,-,-
主板,浙江英特集团股份有限公司,"ZHEJIANG INT’L GROUP CO.,LTD.",浙江省杭州市下城区东新路江南巷2号3幢,000411,英特集团,1996-07-16,521353442,316740478,,,,0,0,华东,浙江,杭州市,F 批发零售,www.intmedic.com,-,-,-
主板,东旭光电科技股份有限公司,"Tunghsu Optoelectronic Technology Co., Ltd.",河北省石家庄市高新区中山东路931号,000413,东旭光电,1996-09-25,5382749947,5029350156,200413,东旭B,1996-07-08,250000001,250000001,华北,河北,石家庄市,C 制造业,www.dongxuguangdian.com.cn,-,-,-
主板,渤海租赁股份有限公司,"Bohai Leasing Co.,Ltd.",新疆维吾尔自治区乌鲁木齐市沙依巴克区黄河路93号,000415,渤海租赁,1996-07-16,6184521282,5392739135,,,,0,0,西北,新疆,乌鲁木齐市,L 商务服务,www.bohaileasing.com,-,-,-
主板,民生控股股份有限公司,"Minsheng Holdings Co.,Ltd",山东省青岛市崂山区株洲路151号,000416,*ST民控,1996-07-19,531871494,531641098,,,,0,0,华东,山东,青岛市,J 金融业,www.mskg.com.cn,-,-,-
主板,合肥百货大楼集团股份有限公司,"HEFEI DEPARTMENT STORE GROUP CO.,LTD",安徽省合肥市长江中路150号,000417,合肥百货,1996-08-12,779884200,779027451,,,,0,0,华东,安徽,合肥市,F 批发零售,www.hfbh.com.cn,-,-,-
主板,长沙通程控股股份有限公司,"CHANGSHA TONGCHENG HOLDINGS CO.,LTD",湖南省长沙市雨花区劳动西路589号,000419,通程控股,1996-08-16,543582655,543361613,,,,0,0,华中,湖南,长沙市,F 批发零售,www.e-tongcheng.com,-,-,-
主板,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO ., LTD",吉林省吉林市经济技术开发区昆仑街216号,000420,吉林化纤,1996-08-02,2458868343,2458028143,,,,0,0,东北,吉林,吉林市,C 制造业,www.jlcfc.com,-,-,-
主板,南京公用发展股份有限公司,"NanJing Public Utilities Development Co., Ltd.",江苏省南京市建邺区白龙江东街8号新城科技园科技创新综合体A4号楼18层,000421,南京公用,1996-08-06,578261934,572646934,,,,0,0,华东,江苏,南京市,D 水电煤气,www.nj-public.com,-,-,-
主板,湖北宜化化工股份有限公司,"Hubei Yihua Chemical Industry Co., Ltd.",湖北省宜昌市猇亭区猇亭大道399号,000422,湖北宜化,1996-08-15,1057866712,897817191,,,,0,0,华中,湖北,宜昌市,C 制造业,www.hbyh.cn,-,-,-
主板,东阿阿胶股份有限公司,"Dong-E-E-Jiao Co., Ltd.",山东省东阿县阿胶街78号,000423,东阿阿胶,1996-07-29,643976824,643974649,,,,0,0,华东,山东,聊城市,C 制造业,www.dongeejiao.com,-,-,-
主板,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",江苏省徐州市经济技术开发区驮蓝山路26号,000425,徐工机械,1996-08-28,11816166093,4727667078,,,,0,0,华东,江苏,徐州市,C 制造业,xgjx.xcmg.com,-,-,-
主板,内蒙古兴业银锡矿业股份有限公司,"INNER MONGOLIA XINGYE SILVER&TIN MINING CO.,LTD",内蒙古自治区赤峰市新城区八家组团玉龙大街路北、天义路西兴业集团办公楼,000426,兴业银锡,1996-08-28,1837192219,1477879862,,,,0,0,华北,内蒙古,赤峰市,B 采矿业,www.nmxyky.com,-,-,-
主板,华天酒店集团股份有限公司,"HUATIAN HOTEL GROUP  CO.,LTD.",湖南省长沙市芙蓉区解放东路300号,000428,华天酒店,1996-08-08,1018926000,1018882500,,,,0,0,华中,湖南,长沙市,H 住宿餐饮,www.huatian-hotel.com,-,-,-
主板,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD",广东省广州市白云路85号,000429,粤高速Ａ,1998-02-20,1742056126,1303329906,200429,粤高速Ｂ,1996-08-15,348750000,348648675,华南,广东,广州市,G 运输仓储,www.gpedcl.com,-,-,-
主板,张家界旅游集团股份有限公司,"ZHANG JIA JIE TOURISM GROUP CO.,LTD",湖南省张家界市南庄坪1号花园,000430,张家界,1996-08-29,404817686,331738800,,,,0,0,华中,湖南,张家界市,N 公共环保,zjjlyjt.com,-,-,-
主板,山东晨鸣纸业集团股份有限公司,"SHANDONG CHENMING PAPER HOLDINGS CO.,LTD",山东省寿光市圣城街595号,000488,晨鸣纸业,2000-11-20,1745051684,1685544097,200488,晨  鸣Ｂ,1997-05-26,706385266,706385266,华东,山东,潍坊市,C 制造业,www.chenmingpaper.com,-,-,-
主板,山东高速路桥集团股份有限公司,"SHANDONG HI-SPEED ROAD&BRIDGE GROUP CO., LTD.",山东省济南市历下区经十路14677号,000498,山东路桥,1997-06-09,1560987803,1457849158,,,,0,0,华东,山东,济南市,E 建筑业,www.sdlqgf.com,-,-,-
主板,武商集团股份有限公司,"WUSHANG GROUP CO., LTD.",湖北省武汉市江汉区解放大道690号,000501,武商集团,1992-11-20,768992731,768073142,,,,0,0,华中,湖北,武汉市,F 批发零售,www.wushang.com.cn,-,-,-
主板,国新健康保障服务集团股份有限公司,"China Reform Health Management and Services Group Co., Ltd.",山东省青岛市黄岛区峨眉山路396号44栋401户,000503,国新健康,1992-11-30,906413204,898822204,,,,0,0,华东,山东,青岛市,I 信息技术,www.crhms.cn,-,-,-
主板,南华生物医药股份有限公司,"NanHua Bio-medicine CO.,Ltd．",湖南省长沙市天心区城南西路3号财信大厦13楼,000504,南华生物,1992-12-08,311573901,310667201,,,,0,0,华中,湖南,长沙市,M 科研服务,www.landfar.cn,-,-,-
主板,海南京粮控股股份有限公司,"Hainan Jingliang Holdings Co., Ltd.",海南省海口市滨海大道珠江广场帝豪大厦29层,000505,京粮控股,1992-12-21,661975251,631105336,200505,京粮B,1995-06-29,64975000,64975000,华南,海南,海口市,C 制造业,,-,-,-
主板,中润资源投资股份有限公司,Zhongrun Resources Investment Corporation,山东省济南市经十路13777号中润世纪广场17栋,000506,中润资源,1993-03-12,929017761,928670961,,,,0,0,华东,山东,济南市,B 采矿业,www.sdzr.com,-,-,-
主板,珠海港股份有限公司,"ZHUHAI  PORT  CO., LTD",广东省珠海市南水镇榕湾路16号2001-2号办公,000507,珠海港,1993-03-26,919734895,902337753,,,,0,0,华南,广东,珠海市,G 运输仓储,www.0507.com.cn,-,-,-
主板,华塑控股股份有限公司,"Huasu Holdings CO.,Ltd",四川省南充市顺庆区涪江路223号,000509,华塑控股,1993-05-07,1073128052,1073112808,,,,0,0,西南,四川,南充市,Q 卫生,,-,-,-
主板,四川新金路集团股份有限公司,"SICHUAN XINJINLU GROUP CO.,LTD",四川省德阳市泰山南路二段733号银鑫·五洲广场一期21栋22-23层,000510,新金路,1993-05-07,609182254,567284732,,,,0,0,西南,四川,德阳市,C 制造业,www.xjinlu.cn,-,-,-
主板,丽珠医药集团股份有限公司,LIVZON PHARMACEUTICAL GROUP INC.,广东省珠海市金湾区创业北路38号总部大楼,000513,丽珠集团,1993-10-28,625721470,605842624,,,,0,0,华南,广东,珠海市,C 制造业,www.livzon.com.cn,-,-,-
主板,重庆渝开发股份有限公司,"CHONGQING YUKAIFA CO.,LTD",重庆市渝中区中山三路128号投资大厦25层,000514,渝 开 发,1993-07-12,843770965,843770965,,,,0,0,西南,重庆,重庆市,K 房地产,www.cqukf.com,-,-,-
主板,西安国际医学投资股份有限公司,"XI""AN INTERNATIONAL MEDICAL INVESTMENT COMPANY LIMITED",陕西省西安市高新区团结南路16号保障楼5层,000516,国际医学,1993-08-09,2260809518,1899545570,,,,0,0,西北,陕西,西安市,Q 卫生,www.000516.cn,-,-,-
主板,荣安地产股份有限公司,"Rongan Property Co.,Ltd.",浙江省宁波市海曙区灵桥路513号(14-12),000517,荣安地产,1993-08-06,3183922485,2491986416,,,,0,0,华东,浙江,宁波市,K 房地产,www.rongan.com.cn,-,-,-
主板,江苏四环生物股份有限公司,"JIANGSU SIHUAN BIOENGINEERING CO.,LTD",江苏省江阴市滨江开发区定山路十号,000518,四环生物,1993-09-08,1029556222,1029554722,,,,0,0,华东,江苏,无锡市,C 制造业,www.000518shsw.com,-,-,-
主板,中兵红箭股份有限公司,"NORTH INDUSTRIES GROUP RED ARROW CO., LTD",湖南省湘潭市国家高新技术产业开发区德国工业园莱茵路1号,000519,中兵红箭,1993-10-08,1392558982,1391500582,,,,0,0,华中,湖南,湘潭市,C 制造业,zbhj.norincogroup.com.cn,-,-,-
主板,长航凤凰股份有限公司,"Chang Jiang Shipping Group Phoenix Co.,Ltd",湖北省武汉市江汉区民权路39号汇江大厦,000520,长航凤凰,1993-10-25,1012083455,1012079705,,,,0,0,华中,湖北,武汉市,G 运输仓储,000520.top,-,-,-
主板,长虹美菱股份有限公司,"CHANGHONG MEILING CO.,LTD.",安徽省合肥市经济技术开发区莲花路2163号,000521,长虹美菱,1993-10-18,881733881,875312459,200521,虹美菱B,1996-08-28,148189834,146499941,华东,安徽,合肥市,C 制造业,www.meiling.com,-,-,-
主板,广州市浪奇实业股份有限公司,"LONKEY INDUSTRIAL CO.,LTD. GUANGZHOU",广东省广州市天河区锦明街87-93号201室,000523,广州浪奇,1993-11-08,1835468461,1571582457,,,,0,0,华南,广东,广州市,C 制造业,www.lonkey.com.cn,-,-,-
主板,广州岭南集团控股股份有限公司,Guangzhou Lingnan Group Holdings Company Limited,广东省广州市流花路120号,000524,岭南控股,1993-11-18,670208597,670081621,,,,0,0,华南,广东,广州市,L 商务服务,www.gzlnholdings.com,-,-,-
主板,南京红太阳股份有限公司,"NANJING RED SUN CO., LTD",江苏省南京市高淳区桠溪镇东风路8号,000525,ST红太阳,1993-10-28,580772873,580617168,,,,0,0,华东,江苏,南京市,C 制造业,www.chinaredsun.com,-,-,-
主板,学大（厦门）教育科技集团股份有限公司,"XUEDA (XIAMEN) EDUCATION TECHNOLOGY GROUP CO., LTD",福建省厦门市湖里区寨上长乐路1号,000526,学大教育,1993-11-01,122124709,117762709,,,,0,0,华东,福建,厦门市,P 教育,,-,-,-
主板,广西柳工机械股份有限公司,"GUANGXI LIUGONG MACHINERY CO., LTD",广西壮族自治区柳州市柳太路1号,000528,柳    工,1993-11-18,1951205775,1412932824,,,,0,0,华南,广西,柳州市,C 制造业,www.liugong.com,-,-,-
主板,广东广弘控股股份有限公司,"GUANGDONG GUANGHONG HOLDINGS CO.,LTD.",广东省广州市天河区广州大道北路520号,000529,广弘控股,1993-11-18,583790330,569884377,,,,0,0,华南,广东,广州市,C 制造业,www.ghkg000529.com,-,-,-
主板,冰山冷热科技股份有限公司,"Bingshan Refrigeration & Heat Transfer Technologies Co.,Ltd.",辽宁省大连市经济技术开发区辽河东路106号,000530,冰山冷热,1993-12-08,601712507,600041613,200530,冰山B,1998-03-20,241500000,241500000,东北,辽宁,大连市,C 制造业,www.bingshan.cn,-,-,-
主板,广州恒运企业集团股份有限公司,"GUANGZHOU HENGYUN ENTERPRISES HOLDING CO.,LTD",广东省广州市萝岗区西基工业区西基路,000531,穗恒运Ａ,1994-01-06,822099384,822099384,,,,0,0,华南,广东,广州市,D 水电煤气,www.hengyun.com.cn,-,-,-
主板,珠海华金资本股份有限公司,"Zhuhai Huajin Capital Co., Ltd.",广东省珠海市香洲区国家高新区前湾二路2号总部基地一期B栋5楼,000532,华金资本,1994-01-03,344708340,343549746,,,,0,0,华南,广东,珠海市,S 综合,www.huajinct.com,-,-,-
主板,广东顺钠电气股份有限公司,"Guangdong Shunna Electric Co. ,Ltd.",广东省佛山市顺德区大良街道逢沙萃智路1号车创置业广场1栋18楼02―07单元,000533,顺钠股份,1994-01-03,690816000,684902400,,,,0,0,华南,广东,佛山市,C 制造业,www.shunna.com.cn,-,-,-
主板,万泽实业股份有限公司,"WEDGE INDUSTRIAL CO.,LTD.",广东省汕头市珠池路23号光明大厦B幢8楼,000534,万泽股份,1994-01-10,509037396,494403196,,,,0,0,华南,广东,汕头市,C 制造业,www.wedgeind.com,-,-,-
主板,华映科技（集团）股份有限公司,"CPT TECHNOLOGY (GROUP) CO., LTD",福建省福州市马尾区儒江西路6号,000536,华映科技,1993-11-26,2766032803,2763082516,,,,0,0,华东,福建,福州市,C 制造业,www.cpttg.com,-,-,-
主板,天津中绿电投资股份有限公司,"CHINA GREEN ELECTRICITY  INVESTMENT of TIANJIN CO.,LTD.",天津市天津经济技术开发区新城西路52号6号楼202-4单元,000537,广宇发展,1993-12-10,1862520720,1862515320,,,,0,0,华北,天津,天津市,K 房地产,www.cge.cn,-,-,-
主板,云南白药集团股份有限公司,"YUNNAN BAIYAO GROUP CO.,LTD.",云南省昆明市呈贡区云南白药街3686号,000538,云南白药,1993-12-15,1796862549,1784917191,,,,0,0,西南,云南,昆明市,C 制造业,www.yunnanbaiyao.com.cn,-,-,-
主板,广东电力发展股份有限公司,"GUANGDONG ELECTRIC POWER DEVELOPMENT CO., LTD",广东省广州市天河东路2号粤电广场南塔33-36楼,000539,粤电力Ａ,1993-11-26,4451875986,2553911699,200539,粤电力Ｂ,1995-06-28,798408000,798408000,华南,广东,广州市,D 水电煤气,www.ged.com.cn,-,-,-
主板,佛山电器照明股份有限公司,"FOSHAN ELECTRICAL AND LIGHTING CO., LTD",广东省佛山市禅城区汾江北路64号,000541,佛山照明,1993-11-23,1058321409,1056501050,200541,粤照明Ｂ,1995-08-08,303673238,294739939,华南,广东,佛山市,C 制造业,www.Chinafsl.Com,-,-,-
主板,安徽省皖能股份有限公司,"AN HUI WENERGY CO.,LTD",安徽省合肥市马鞍山路76号能源大厦,000543,皖能电力,1993-12-20,2266863331,2266863331,,,,0,0,华东,安徽,合肥市,D 水电煤气,www.wenergy.cn,-,-,-
主板,中原环保股份有限公司,"CENTRAL PLAINS ENVIRONMENT PROTECTION CO.,LTD",河南省郑州市中原区中原中路167号1号楼16层,000544,中原环保,1993-12-08,974684488,974684488,,,,0,0,华中,河南,郑州市,D 水电煤气,www.cpepgc.com,-,-,-
主板,金浦钛业股份有限公司,"GPRO TITANIUM INDUSTRY  CO.,LTD",吉林省吉林市吉林经济技术开发区吉孤公路480号,000545,金浦钛业,1993-12-15,986833096,985403096,,,,0,0,东北,吉林,吉林市,C 制造业,www.nthcl.com,-,-,-
主板,金圆环保股份有限公司,"Jinyuan EP Co.,Ltd.",吉林省长春市净月开发区中信城枫丹白露一期3栋906室,000546,ST金圆,1993-12-15,778781962,711528079,,,,0,0,东北,吉林,长春市,N 公共环保,www.jysn.com,-,-,-
主板,航天工业发展股份有限公司,Addsino Co.，Ltd,福建省福州市台江区五一南路67号,000547,航天发展,1993-11-30,1598468269,1588350696,,,,0,0,华东,福建,福州市,C 制造业,www.casic-addsino.com,-,-,-
主板,湖南投资集团股份有限公司,"HUNAN INVESTMENT GROUP CO.,LTD",湖南省长沙市天心区芙蓉中路508号之三君逸康年大酒店十二楼,000548,湖南投资,1993-12-20,499215811,499188811,,,,0,0,华中,湖南,长沙市,G 运输仓储,www.hntz.com.cn,-,-,-
主板,江铃汽车股份有限公司,"JIANGLING MOTORS CO., LTD",江西省南昌市迎宾北大道509号,000550,江铃汽车,1993-12-01,519214000,518463160,200550,江  铃Ｂ,1995-09-29,344000000,344000000,华东,江西,南昌市,C 制造业,www.jmc.com.cn,-,-,-
主板,创元科技股份有限公司,"CREATE TECHNOLOGY & SCIENCE CO.,LTD",江苏省苏州市高新区鹿山路35号,000551,创元科技,1994-01-06,403984805,400080405,,,,0,0,华东,江苏,苏州市,S 综合,www.000551.cn,-,-,-
主板,甘肃能化股份有限公司,"GANSU ENERGY CHEMICAL CO.,LTD",甘肃省白银市平川区大桥路1号,000552,甘肃能化,1994-01-06,4611052153,2504610508,,,,0,0,西北,甘肃,白银市,B 采矿业,www.jymdgs.com,-,-,-
主板,安道麦股份有限公司,ADAMA Ltd.,湖北省荆州市北京东路93号,000553,安道麦A,1993-12-03,2177071961,2177067461,200553,安道麦B,1997-05-15,152739805,152739805,华中,湖北,荆州市,C 制造业,www.adamaltd.com.cn,-,-,-
主板,中国石化山东泰山石油股份有限公司,"SINOPEC SHANDONG TAISHAN PETROLEUM CO.,LTD.",山东省泰安市东岳大街369号,000554,泰山石油,1993-12-15,480793318,362647685,,,,0,0,华东,山东,泰安市,F 批发零售,,-,-,-
主板,神州数码信息服务股份有限公司,Digital China Information Service Company Ltd.,广东省深圳市南山区科发路8号金融服务技术创新基地2栋11B1单元,000555,神州信息,1994-04-08,983653713,980191563,,,,0,0,华南,广东,深圳市,I 信息技术,www.dcits.com,-,-,-
主板,宁夏西部创业实业股份有限公司,"Ningxia Western Venture Industrial Co., Ltd.",宁夏回族自治区银川市金凤区北京中路168号C座一楼,000557,西部创业,1994-06-17,1458374735,1457916198,,,,0,0,西北,宁夏,银川市,G 运输仓储,www.xbcy.nx.cn,-,-,-
主板,莱茵达体育发展股份有限公司,"LANDER SPORTS DEVELOPMENT  CO.,LTD",浙江省杭州市西湖区文三路535号莱茵达大厦,000558,莱茵体育,1994-05-09,1289223949,1288684608,,,,0,0,华东,浙江,杭州市,K 房地产,www.lander.com.cn,-,-,-
